"hgnc_symbol"	"uniprotswissprot"	"uniprot_isoform"	"gene_biotype"
"1"	"PEX5"	"P50542"	"P50542-1"	"protein_coding"
"2"	"PEX5"	"P50542"	"P50542-2"	"protein_coding"
"3"	"PEX5"	"P50542"	"P50542-4"	"protein_coding"
"4"	"PEX5"	"P50542"	"P50542-3"	"protein_coding"
"5"	"MED22"	"Q15528"	"Q15528-1"	"protein_coding"
"6"	"MED22"	"Q15528"	"Q15528-2"	"protein_coding"
"7"	"SURF4"	"O15260"	"O15260-3"	"protein_coding"
"8"	"SURF4"	"O15260"	"O15260-1"	"protein_coding"
"9"	"SURF4"	"O15260"	"O15260-2"	"protein_coding"
"10"	"SCAF4"	"O95104"	"O95104-1"	"protein_coding"
"11"	"SCAF4"	"O95104"	"O95104-2"	"protein_coding"
"12"	"SCAF4"	"O95104"	"O95104-3"	"protein_coding"
"13"	"PAXBP1"	"Q9Y5B6"	"Q9Y5B6-1"	"protein_coding"
"14"	"PAXBP1"	"Q9Y5B6"	"Q9Y5B6-4"	"protein_coding"
"15"	"PAXBP1"	"Q9Y5B6"	"Q9Y5B6-2"	"protein_coding"
"16"	"CRYL1"	"Q9Y2S2"	"Q9Y2S2-1"	"protein_coding"
"17"	"CRYL1"	"Q9Y2S2"	"Q9Y2S2-2"	"protein_coding"
"18"	"ELF1"	"P32519"	"P32519-1"	"protein_coding"
"19"	"ELF1"	"P32519"	"P32519-2"	"protein_coding"
"20"	"RPS6KA1"	"Q15418"	"Q15418-1"	"protein_coding"
"21"	"RPS6KA1"	"Q15418"	"Q15418-3"	"protein_coding"
"22"	"RPS6KA1"	"Q15418"	"Q15418-4"	"protein_coding"
"23"	"RPS6KA1"	"Q15418"	"Q15418-2"	"protein_coding"
"24"	"CRYZL1"	"O95825"	"O95825-1"	"protein_coding"
"25"	"CRYZL1"	"O95825"	"O95825-2"	"protein_coding"
"26"	"TBC1D4"	"O60343"	"O60343-1"	"protein_coding"
"27"	"TBC1D4"	"O60343"	"O60343-2"	"protein_coding"
"28"	"TBC1D4"	"O60343"	"O60343-3"	"protein_coding"
"29"	"KLF5"	"Q13887"	"Q13887-1"	"protein_coding"
"30"	"KLF5"	"Q13887"	"Q13887-4"	"protein_coding"
"31"	"ZBTB21"	"Q9ULJ3"	"Q9ULJ3-2"	"protein_coding"
"32"	"ZBTB21"	"Q9ULJ3"	"Q9ULJ3-1"	"protein_coding"
"33"	"CBR1"	"P16152"	"P16152-2"	"protein_coding"
"34"	"CBR1"	"P16152"	"P16152-1"	"protein_coding"
"35"	"RFC3"	"P40938"	"P40938-1"	"protein_coding"
"36"	"RFC3"	"P40938"	"P40938-2"	"protein_coding"
"37"	"IMPA2"	"O14732"	"O14732-1"	"protein_coding"
"38"	"NHLRC3"	"Q5JS37"	"Q5JS37-1"	"protein_coding"
"39"	"NHLRC3"	"Q5JS37"	"Q5JS37-2"	"protein_coding"
"40"	"SAMSN1"	"Q9NSI8"	"Q9NSI8-2"	"protein_coding"
"41"	"IPO5"	"O00410"	"O00410-1"	"protein_coding"
"42"	"SAMSN1"	"Q9NSI8"	"Q9NSI8-1"	"protein_coding"
"43"	"SAMSN1"	"Q9NSI8"	"Q9NSI8-3"	"protein_coding"
"44"	"IPO5"	"O00410"	"O00410-3"	"protein_coding"
"45"	"RRP1B"	"Q14684"	"Q14684-1"	"protein_coding"
"46"	"PDXK"	"O00764"	"O00764-2"	"protein_coding"
"47"	"PDXK"	"O00764"	"O00764-1"	"protein_coding"
"48"	"PCK2"	"Q16822"	"Q16822-2"	"protein_coding"
"49"	"PCK2"	"Q16822"	"Q16822-3"	"protein_coding"
"50"	"PCK2"	"Q16822"	"Q16822-1"	"protein_coding"
"51"	"DIAPH3"	"Q9NSV4"	"Q9NSV4-3"	"protein_coding"
"52"	"DIAPH3"	"Q9NSV4"	"Q9NSV4-4"	"protein_coding"
"53"	"DIAPH3"	"Q9NSV4"	"Q9NSV4-6"	"protein_coding"
"54"	"DIAPH3"	"Q9NSV4"	"Q9NSV4-5"	"protein_coding"
"55"	"DIAPH3"	"Q9NSV4"	"Q9NSV4-7"	"protein_coding"
"56"	"DIAPH3"	"Q9NSV4"	"Q9NSV4-1"	"protein_coding"
"57"	"DIAPH3"	"Q9NSV4"	"Q9NSV4-2"	"protein_coding"
"58"	"WBP4"	"O75554"	"O75554-1"	"protein_coding"
