"uniprot_id"	"prediction_disorder_mobidb_lite"	"prediction_disorder_alphafold"	"hgnc_symbol"	"start_position"	"end_position"	"gene_biotype"
"1"	"A0A075B6I9"	NA	0.231	"IGLV7-46"	22369614	22370087	"IG_V_gene"
"2"	"A0A075B6K6"	NA	0.287	"IGLV4-3"	22871507	22872035	"IG_V_gene"
"3"	"A0A075B6N3"	NA	0.235	"TRBV24-1"	142656701	142657213	"TR_V_gene"
"4"	"A0A075B6T6"	NA	0.274	"TRAV12-2"	21887857	21888502	"TR_V_gene"
"5"	"A0A096LP01"	NA	0.916	"SMIM26"	18567347	18569563	"protein_coding"
"6"	"A0A096LP49"	0.481	0.967	"CCDC187"	136249973	136306901	"protein_coding"
"7"	"A0A0B4J1U7"	NA	0.231	"IGHV6-1"	407523	408022	"IG_V_gene"
"8"	"A0A0B4J1V0"	NA	0.227	"IGHV3-15"	106153624	106154163	"IG_V_gene"
"9"	"A0A0B4J1V2"	NA	0.218	"IGHV2-26"	106301396	106301862	"IG_V_gene"
"10"	"A0A0B4J244"	NA	0.237	"TRAV3"	21723713	21724321	"TR_V_gene"
"11"	"A0A0B4J271"	NA	0.272	"TRAV12-3"	21965451	21966061	"TR_V_gene"
"12"	"A0A0B4J2F0"	NA	1	"PIGBOS1"	55317184	55319161	"protein_coding"
"13"	"A0A0C4DH29"	NA	0.231	"IGHV1-3"	472864	473343	"IG_V_gene"
"14"	"A0A0C4DH30"	NA	0.231	"IGHV3-16"	106165205	106165730	"IG_V_gene"
"15"	"A0A0J9YX57"	0.455	0.45	"MAGEB6B"	26160601	26162410	"protein_coding"
"16"	"A0A0U1RRE5"	1	1	"NBDY"	56729241	56819179	"protein_coding"
"17"	"A0A0U1RRL7"	0.859	1	"MMP24OS"	35201745	35278131	"protein_coding"
"18"	"A0A1B0GTH6"	0.064	0.827	"CSNKA2IP"	88338416	88467594	"protein_coding"
"19"	"A0A1B0GUA7"	NA	0.56	"TEX51"	126898864	126902097	"protein_coding"
"20"	"A0A1B0GUI7"	NA	0.857	"BRD3OS"	134025481	134034666	"protein_coding"
"21"	"A0A1B0GUS4"	NA	0	"UBE2L5"	30422488	30429758	"protein_coding"
"22"	"A0A1B0GUT2"	0.491	1	"C10orf143"	130020025	130110830	"protein_coding"
"23"	"A0A1B0GV90"	NA	0.945	"CTXND2"	150887136	150913292	"protein_coding"
"24"	"A0A1B0GVM6"	0.262	1	"C11orf97"	94512461	94532123	"protein_coding"
"25"	"A0A1W2PR19"	NA	0	"GSTT4"	23998401	24005453	"protein_coding"
"26"	"A0A2R8Y4Y8"	NA	0.4	"OOSP4B"	67675	120732	"protein_coding"
"27"	"A0A2R8Y7D0"	NA	0.267	"TINCR"	5558167	5578349	"protein_coding"
"28"	"A0A2R8YFL7"	NA	0.44	"OOSP4A"	53688	59801	"protein_coding"
"29"	"A0A2Z4LIS9"	0.779	0.866	"FOXO3B"	18667629	18682314	"protein_coding"
"30"	"A0AV02"	0.076	0.366	"SLC12A8"	125082636	125212864	"protein_coding"
"31"	"A0AV96"	0.042	0.497	"RBM47"	40423267	40630875	"protein_coding"
"32"	"A0AVK6"	0.186	0.767	"E2F8"	19224063	19241620	"protein_coding"
"33"	"A0AVT1"	0.02	0.047	"UBA6"	67612652	67701155	"protein_coding"
"34"	"A0FGR8"	0.215	0.308	"ESYT2"	158730995	158830253	"protein_coding"
"35"	"A0FGR9"	0.093	0.312	"ESYT3"	138434586	138481686	"protein_coding"
"36"	"A0JD32"	NA	0.25	"TRAV38-2DV8"	22281105	22281748	"TR_V_gene"
"37"	"A0JLT2"	0.533	0.996	"MED19"	57703710	57712221	"protein_coding"
"38"	"A0MZ66"	0.42	0.7	"SHTN1"	116881477	117126586	"protein_coding"
"39"	"A0PJE2"	NA	0	"DHRS12"	51767993	51804163	"protein_coding"
"40"	"A0PJW8"	0.215	1	"DAPL1"	158795317	158862781	"protein_coding"
"41"	"A1A4G5"	0.449	1	"LNP1"	100401532	100456319	"protein_coding"
"42"	"A1A4S6"	0.178	0.216	"ARHGAP10"	147732063	148072776	"protein_coding"
"43"	"A1A5C7"	0.127	0.267	"SLC22A23"	3268962	3457050	"protein_coding"
